,Days,Longitude,Latitude,AvgTemp,AvgHum,AvgWind,AvgRain,14dayAvgTemp,14dayAvgHum,14dayAvgWind,14dayAvgRain
102,0.0,36.7577225,-118.8317702,19.84,36.0,0.97,0.0,18.118229166666666,43.18750000000001,2.0,2.0
103,1.0,36.7577225,-118.8317702,19.189999999999998,33.0,1.27,0.0,18.118229166666666,43.18750000000001,2.0,2.0
104,2.0,36.7577225,-118.8317702,19.055,27.0,1.21,0.0,18.118229166666666,43.18750000000001,2.0,2.0
105,3.0,36.7577225,-118.8317702,18.705,28.000000000000004,1.29,0.0,18.118229166666666,43.18750000000001,2.0,2.0
106,4.0,36.7577225,-118.8317702,18.785,30.0,0.75,0.0,18.118229166666666,43.18750000000001,2.0,2.0
107,5.0,36.7577225,-118.8317702,18.165,28.000000000000004,0.69,0.0,18.118229166666666,43.18750000000001,2.0,2.0
108,0.0,38.9246199,-121.8519118,30.965000000000003,33.0,2.2,0.0,25.7921875,49.65624999999999,2.0,0.0
109,1.0,38.9246199,-121.8519118,28.395,33.0,1.76,0.0,25.7921875,49.65624999999999,2.0,0.0
110,2.0,38.9246199,-121.8519118,24.669999999999998,47.0,2.73,0.0,25.7921875,49.65624999999999,2.0,0.0
111,3.0,38.9246199,-121.8519118,24.97,48.0,1.75,0.0,25.7921875,49.65624999999999,2.0,0.0
112,4.0,38.9246199,-121.8519118,25.875,42.0,1.52,0.0,25.7921875,49.65624999999999,2.0,0.0
113,5.0,38.9246199,-121.8519118,26.794999999999998,41.0,1.15,0.0,25.7921875,49.65624999999999,2.0,0.0
114,0.0,40.3312512,-123.9253177,19.56,62.0,3.93,0.0,18.885,63.65625,3.0,1.0
115,1.0,40.3312512,-123.9253177,17.515,73.0,3.33,0.0,18.885,63.65625,3.0,1.0
116,2.0,40.3312512,-123.9253177,17.375,74.0,3.27,0.0,18.885,63.65625,3.0,1.0
117,3.0,40.3312512,-123.9253177,18.535,68.0,3.39,0.0,18.885,63.65625,3.0,1.0
118,4.0,40.3312512,-123.9253177,18.95,64.0,2.12,0.0,18.885,63.65625,3.0,1.0
119,5.0,40.3312512,-123.9253177,19.23,65.0,2.19,0.0,18.885,63.65625,3.0,1.0
120,0.0,38.3668575,-122.5952619,27.830000000000002,34.0,2.87,0.0,21.111874999999998,59.25,2.0,1.0
121,1.0,38.3668575,-122.5952619,23.71,49.0,2.79,0.0,21.111874999999998,59.25,2.0,1.0
122,2.0,38.3668575,-122.5952619,21.28,61.0,2.42,0.0,21.111874999999998,59.25,2.0,1.0
123,3.0,38.3668575,-122.5952619,22.79,57.99999999999999,2.01,0.0,21.111874999999998,59.25,2.0,1.0
124,4.0,38.3668575,-122.5952619,22.785,53.0,1.82,0.0,21.111874999999998,59.25,2.0,1.0
125,5.0,38.3668575,-122.5952619,22.89,55.00000000000001,1.65,0.0,21.111874999999998,59.25,2.0,1.0
126,0.0,36.7793881,-118.7762131,21.675,32.0,0.95,0.0,19.97052083333333,38.89583333333333,2.0,2.0
127,1.0,36.7793881,-118.7762131,21.085,30.0,1.26,0.0,19.97052083333333,38.89583333333333,2.0,2.0
128,2.0,36.7793881,-118.7762131,20.740000000000002,25.0,1.21,0.0,19.97052083333333,38.89583333333333,2.0,2.0
129,3.0,36.7793881,-118.7762131,20.15,26.0,1.28,0.0,19.97052083333333,38.89583333333333,2.0,2.0
130,4.0,36.7793881,-118.7762131,20.299999999999997,27.0,0.75,0.0,19.97052083333333,38.89583333333333,2.0,2.0
131,5.0,36.7793881,-118.7762131,19.77,26.0,0.69,0.0,19.97052083333333,38.89583333333333,2.0,2.0
132,0.0,40.33514,-123.9369847,19.27,63.0,3.94,0.0,18.555,65.125,3.0,1.0
133,1.0,40.33514,-123.9369847,17.115000000000002,75.0,3.34,0.0,18.555,65.125,3.0,1.0
134,2.0,40.33514,-123.9369847,16.975,76.0,3.28,0.0,18.555,65.125,3.0,1.0
135,3.0,40.33514,-123.9369847,18.29,70.0,3.4,0.0,18.555,65.125,3.0,1.0
136,4.0,40.33514,-123.9369847,19.01,65.0,2.12,0.0,18.555,65.125,3.0,1.0
137,5.0,40.33514,-123.9369847,19.145,66.0,2.19,0.0,18.555,65.125,3.0,1.0
138,0.0,40.2884747,-123.8117026,21.62,53.0,3.7,0.0,21.106145833333333,56.083333333333336,3.0,0.0
139,1.0,40.2884747,-123.8117026,19.455,65.0,3.1,0.0,21.106145833333333,56.083333333333336,3.0,0.0
140,2.0,40.2884747,-123.8117026,19.384999999999998,67.0,2.94,0.0,21.106145833333333,56.083333333333336,3.0,0.0
141,3.0,40.2884747,-123.8117026,20.2,63.0,3.11,0.0,21.106145833333333,56.083333333333336,3.0,0.0
142,4.0,40.2884747,-123.8117026,19.89,60.0,2.0,0.0,21.106145833333333,56.083333333333336,3.0,0.0
143,5.0,40.2884747,-123.8117026,20.45,61.0,2.08,0.0,21.106145833333333,56.083333333333336,3.0,0.0
144,0.0,40.2701414,-123.8497586,21.375,54.0,3.92,0.0,20.818541666666665,57.0625,3.0,0.0
145,1.0,40.2701414,-123.8497586,19.03,68.0,3.25,0.0,20.818541666666665,57.0625,3.0,0.0
146,2.0,40.2701414,-123.8497586,18.945,70.0,3.12,0.0,20.818541666666665,57.0625,3.0,0.0
147,3.0,40.2701414,-123.8497586,19.95,65.0,3.28,0.0,20.818541666666665,57.0625,3.0,0.0
148,4.0,40.2701414,-123.8497586,20.015,61.0,2.12,0.0,20.818541666666665,57.0625,3.0,0.0
149,5.0,40.2701414,-123.8497586,20.395,63.0,2.21,0.0,20.818541666666665,57.0625,3.0,0.0
150,0.0,40.3370844,-123.9311513,19.32,63.0,3.92,0.0,18.611041666666665,64.98958333333333,3.0,1.0
151,1.0,40.3370844,-123.9311513,17.215,75.0,3.32,0.0,18.611041666666665,64.98958333333333,3.0,1.0
152,2.0,40.3370844,-123.9311513,17.075,75.0,3.26,0.0,18.611041666666665,64.98958333333333,3.0,1.0
153,3.0,40.3370844,-123.9311513,18.35,70.0,3.38,0.0,18.611041666666665,64.98958333333333,3.0,1.0
154,4.0,40.3370844,-123.9311513,18.995,65.0,2.11,0.0,18.611041666666665,64.98958333333333,3.0,1.0
155,5.0,40.3370844,-123.9311513,19.17,66.0,2.17,0.0,18.611041666666665,64.98958333333333,3.0,1.0
156,0.0,40.2768079,-123.8553145,21.225,55.00000000000001,3.93,0.0,20.653437500000003,57.697916666666664,3.0,0.0
157,1.0,40.2768079,-123.8553145,18.875,69.0,3.26,0.0,20.653437500000003,57.697916666666664,3.0,0.0
158,2.0,40.2768079,-123.8553145,18.79,70.0,3.13,0.0,20.653437500000003,57.697916666666664,3.0,0.0
159,3.0,40.2768079,-123.8553145,19.830000000000002,65.0,3.29,0.0,20.653437500000003,57.697916666666664,3.0,0.0
160,4.0,40.2768079,-123.8553145,19.955,62.0,2.12,0.0,20.653437500000003,57.697916666666664,3.0,0.0
161,5.0,40.2768079,-123.8553145,20.31,63.0,2.21,0.0,20.653437500000003,57.697916666666664,3.0,0.0
162,0.0,40.3037518,-123.9011497,20.215,59.0,4.0,0.0,19.572187500000002,61.260416666666664,3.0,0.0
163,1.0,40.3037518,-123.9011497,17.945,72.0,3.35,0.0,19.572187500000002,61.260416666666664,3.0,0.0
164,2.0,40.3037518,-123.9011497,17.83,73.0,3.26,0.0,19.572187500000002,61.260416666666664,3.0,0.0
165,3.0,40.3037518,-123.9011497,19.005,67.0,3.4,0.0,19.572187500000002,61.260416666666664,3.0,0.0
166,4.0,40.3037518,-123.9011497,19.395,63.0,2.16,0.0,19.572187500000002,61.260416666666664,3.0,0.0
167,5.0,40.3037518,-123.9011497,19.65,65.0,2.24,0.0,19.572187500000002,61.260416666666664,3.0,0.0
168,0.0,39.8976505,-123.7511338,23.015,47.0,3.36,0.0,21.070416666666667,58.208333333333336,2.0,0.0
169,1.0,39.8976505,-123.7511338,19.325,66.0,2.49,0.0,21.070416666666667,58.208333333333336,2.0,0.0
170,2.0,39.8976505,-123.7511338,18.439999999999998,70.0,2.19,0.0,21.070416666666667,58.208333333333336,2.0,0.0
171,3.0,39.8976505,-123.7511338,19.83,65.0,2.55,0.0,21.070416666666667,58.208333333333336,2.0,0.0
172,4.0,39.8976505,-123.7511338,19.244999999999997,62.0,2.1,0.0,21.070416666666667,58.208333333333336,2.0,0.0
173,5.0,39.8976505,-123.7511338,19.490000000000002,64.0,2.08,0.0,21.070416666666667,58.208333333333336,2.0,0.0
174,0.0,40.3508813,-123.9244801,19.195,64.0,3.84,0.0,18.4928125,65.72916666666667,3.0,1.0
175,1.0,40.3508813,-123.9244801,17.09,75.0,3.27,0.0,18.4928125,65.72916666666667,3.0,1.0
176,2.0,40.3508813,-123.9244801,16.945,76.0,3.21,0.0,18.4928125,65.72916666666667,3.0,1.0
177,3.0,40.3508813,-123.9244801,18.285,70.0,3.33,0.0,18.4928125,65.72916666666667,3.0,1.0
178,4.0,40.3508813,-123.9244801,19.065,65.0,2.06,0.0,18.4928125,65.72916666666667,3.0,1.0
179,5.0,40.3508813,-123.9244801,19.195,66.0,2.11,0.0,18.4928125,65.72916666666667,3.0,1.0
180,0.0,36.7785554,-118.8209368,21.055,34.0,0.93,0.0,19.423229166666665,40.20833333333333,2.0,2.0
181,1.0,36.7785554,-118.8209368,20.56,31.0,1.24,0.0,19.423229166666665,40.20833333333333,2.0,2.0
182,2.0,36.7785554,-118.8209368,20.275,26.0,1.18,0.0,19.423229166666665,40.20833333333333,2.0,2.0
183,3.0,36.7785554,-118.8209368,19.77,26.0,1.26,0.0,19.423229166666665,40.20833333333333,2.0,2.0
184,4.0,36.7785554,-118.8209368,19.875,28.000000000000004,0.74,0.0,19.423229166666665,40.20833333333333,2.0,2.0
185,5.0,36.7785554,-118.8209368,19.265,27.0,0.68,0.0,19.423229166666665,40.20833333333333,2.0,2.0
186,0.0,36.6188485,-121.8310627,16.965,76.0,2.18,0.0,14.208124999999999,85.83333333333334,2.0,2.0
187,1.0,36.6188485,-121.8310627,15.149999999999999,80.0,2.91,0.0,14.208124999999999,85.83333333333334,2.0,2.0
188,2.0,36.6188485,-121.8310627,14.585,84.0,2.94,0.0,14.208124999999999,85.83333333333334,2.0,2.0
189,3.0,36.6188485,-121.8310627,14.600000000000001,84.0,2.9,0.0,14.208124999999999,85.83333333333334,2.0,2.0
190,4.0,36.6188485,-121.8310627,15.615,79.0,2.55,0.0,14.208124999999999,85.83333333333334,2.0,2.0
191,5.0,36.6188485,-121.8310627,15.315,79.0,2.73,0.0,14.208124999999999,85.83333333333334,2.0,2.0
192,0.0,40.3062517,-123.90865,20.095,59.0,4.01,0.0,19.44010416666667,61.770833333333336,3.0,0.0
193,1.0,40.3062517,-123.90865,17.8,73.0,3.37,0.0,19.44010416666667,61.770833333333336,3.0,0.0
194,2.0,40.3062517,-123.90865,17.689999999999998,74.0,3.28,0.0,19.44010416666667,61.770833333333336,3.0,0.0
195,3.0,40.3062517,-123.90865,18.9,68.0,3.42,0.0,19.44010416666667,61.770833333333336,3.0,0.0
196,4.0,40.3062517,-123.90865,19.365000000000002,64.0,2.17,0.0,19.44010416666667,61.770833333333336,3.0,0.0
197,5.0,40.3062517,-123.90865,19.575000000000003,65.0,2.25,0.0,19.44010416666667,61.770833333333336,3.0,0.0
198,0.0,40.2915294,-123.9419838,20.325,56.99999999999999,4.27,0.0,19.677187500000002,59.66666666666667,4.0,0.0
199,1.0,40.2915294,-123.9419838,17.99,70.0,3.53,0.0,19.677187500000002,59.66666666666667,4.0,0.0
200,2.0,40.2915294,-123.9419838,17.875,71.0,3.47,0.0,19.677187500000002,59.66666666666667,4.0,0.0
201,3.0,40.2915294,-123.9419838,18.89,66.0,3.59,0.0,19.677187500000002,59.66666666666667,4.0,0.0
202,4.0,40.2915294,-123.9419838,19.04,63.0,2.31,0.0,19.677187500000002,59.66666666666667,4.0,0.0
203,5.0,40.2915294,-123.9419838,19.38,63.0,2.41,0.0,19.677187500000002,59.66666666666667,4.0,0.0
204,0.0,40.2818076,-123.8939268,20.675,56.99999999999999,4.08,0.0,20.06177083333333,59.364583333333336,3.0,0.0
205,1.0,40.2818076,-123.8939268,18.259999999999998,71.0,3.38,0.0,20.06177083333333,59.364583333333336,3.0,0.0
206,2.0,40.2818076,-123.8939268,18.16,72.0,3.29,0.0,20.06177083333333,59.364583333333336,3.0,0.0
207,3.0,40.2818076,-123.8939268,19.314999999999998,67.0,3.42,0.0,20.06177083333333,59.364583333333336,3.0,0.0
208,4.0,40.2818076,-123.8939268,19.645,63.0,2.2,0.0,20.06177083333333,59.364583333333336,3.0,0.0
209,5.0,40.2818076,-123.8939268,19.89,64.0,2.3,0.0,20.06177083333333,59.364583333333336,3.0,0.0
210,0.0,40.2837523,-123.8564258,21.095,55.00000000000001,3.91,0.0,20.520729166666666,58.15625,3.0,0.0
211,1.0,40.2837523,-123.8564258,18.795,69.0,3.25,0.0,20.520729166666666,58.15625,3.0,0.0
212,2.0,40.2837523,-123.8564258,18.705,70.0,3.13,0.0,20.520729166666666,58.15625,3.0,0.0
213,3.0,40.2837523,-123.8564258,19.740000000000002,65.0,3.29,0.0,20.520729166666666,58.15625,3.0,0.0
214,4.0,40.2837523,-123.8564258,19.875,62.0,2.11,0.0,20.520729166666666,58.15625,3.0,0.0
215,5.0,40.2837523,-123.8564258,20.240000000000002,63.0,2.2,0.0,20.520729166666666,58.15625,3.0,0.0
216,0.0,40.3743062,-123.9258742,18.805,66.0,3.73,0.0,18.082187500000003,67.48958333333333,3.0,1.0
217,1.0,40.3743062,-123.9258742,16.855,76.0,3.21,0.0,18.082187500000003,67.48958333333333,3.0,1.0
218,2.0,40.3743062,-123.9258742,16.7,77.0,3.15,0.0,18.082187500000003,67.48958333333333,3.0,1.0
