,Tempavg,Humavg,Windavg,Rainavg
111,23.270624999999995,37.598214285714285,1.0,1.0
112,26.348095238095237,34.3125,1.0,0.0
113,29.163660714285708,32.8125,2.0,0.0
114,17.689494047619053,77.99702380952381,2.0,2.0
115,17.79666666666667,77.48809523809521,2.0,2.0
116,17.36702380952381,79.2559523809524,2.0,2.0
117,17.219285714285714,76.93750000000001,1.0,2.0
118,17.22547619047619,76.80059523809523,1.0,2.0
119,17.759672619047617,77.39583333333334,2.0,2.0
120,17.796101190476193,76.85714285714286,2.0,2.0
121,29.32919642857143,34.26488095238095,2.0,0.0
122,24.062886904761903,40.139880952380956,2.0,2.0
123,23.207321428571426,40.794642857142854,2.0,3.0
124,15.524672619047616,47.580357142857146,2.0,4.0
125,24.118273809523817,38.13392857142857,1.0,2.0
126,22.13309523809524,58.919642857142875,1.0,1.0
127,19.859791666666663,68.95833333333334,1.0,2.0
128,20.739970238095236,62.038690476190474,1.0,1.0
129,21.11279761904762,61.06249999999999,1.0,1.0
130,18.336755952380948,70.97023809523812,1.0,2.0
131,16.18461309523809,80.50297619047618,1.0,2.0
132,19.14925595238095,64.38690476190476,2.0,3.0
133,18.20044642857143,71.83333333333333,1.0,2.0
134,17.00327380952381,77.37797619047619,2.0,2.0
135,16.965595238095236,77.49999999999999,2.0,2.0
136,23.000773809523814,58.279761904761905,1.0,0.0
137,19.152083333333337,64.81845238095238,2.0,3.0
138,19.793482142857137,60.297619047619044,2.0,3.0
139,27.943065476190473,39.55654761904763,2.0,1.0
140,28.375982142857136,38.61011904761905,2.0,1.0
141,27.289434523809526,41.55952380952381,2.0,1.0
142,15.422767857142858,88.44047619047619,2.0,2.0
143,19.149880952380954,72.77083333333331,1.0,1.0
144,20.30502976190476,66.73511904761905,1.0,1.0
145,19.66842261904762,71.17261904761905,1.0,1.0
146,19.320089285714285,72.45238095238095,1.0,1.0
147,18.937738095238096,74.05059523809526,1.0,1.0
148,19.598511904761903,71.36309523809524,1.0,1.0
149,19.54735119047619,71.58928571428571,1.0,1.0
150,18.54928571428572,75.71130952380953,1.0,2.0
151,23.930029761904763,48.58928571428571,1.0,1.0
152,22.686874999999997,55.726190476190474,1.0,1.0
153,23.208809523809524,52.723214285714285,1.0,1.0
154,23.43717261904762,51.755952380952394,1.0,1.0
155,23.461636904761907,51.58928571428572,1.0,1.0
156,14.658184523809524,49.19642857142857,2.0,4.0
157,24.5733630952381,46.58035714285715,1.0,1.0
158,20.079642857142854,69.22916666666666,1.0,1.0
159,19.72633928571429,69.97916666666667,1.0,1.0
160,19.644880952380955,70.38988095238095,1.0,1.0
161,19.370238095238097,71.59821428571429,1.0,1.0
162,19.340773809523814,71.7202380952381,1.0,1.0
163,24.007648809523808,49.32738095238095,1.0,1.0
164,19.595,66.16071428571428,2.0,1.0
165,25.565684523809523,35.636904761904766,2.0,1.0
166,20.005803571428572,68.76785714285714,1.0,1.0
167,22.747619047619047,59.40476190476191,1.0,1.0
168,19.77877976190476,72.7172619047619,1.0,0.0
169,15.783779761904762,81.89583333333334,1.0,2.0
170,22.726428571428567,51.961309523809526,3.0,1.0
171,24.356696428571432,45.36011904761905,3.0,0.0
